probably#ad. 大概，有可能
furnish#vt. 提供，供应
voluntary#a. 主观意志所控制的
depth#n. 深度，深
comparatively#ad. 相对地，比较地
superficial#a. 浅的，表浅的
proportionately#ad. 成比例地，相称地
impulse#n. 冲动，刺激
diaphragm#n. 隔膜，膈
conversely#ad. 相反，反过来
sex#n. 性别
slightly#ad. 稍微，轻微
circumstance#n. 情况
adult#n. 成年人
newborn#a. 新生的
infant#n. 婴儿，幼儿
cellular#a. 细胞的
anatomically#ad. 解剖学上，结构上
confine#vt. 限制
uri#上呼吸道感染
passageway#n. 走廊；过道
travel#vi. 旅行；移动
membrane#n. 膜
rhinitis#n. 鼻炎
inflammation#n. 红肿；发炎；炎症
pharyngitis#n. 咽炎
tracheitis#n. 气管炎
pneumonia#n. 肺炎
list#vt. 列举，编列成表
occurrence#n. 出现，发生
absorption#n. 吸收
intestinal#a. 肠的；内部的
mucosa#n. 粘膜
lymph#n. 淋巴，淋巴液
foregoing#a. 在前的，前述的
the foregoing#前文，前述事项
specifically#ad. 明确地；尤其
utilization#n. 利用，使用
merely#ad. 仅仅，只不过
preliminary#a. 预备的，初步的
metabolize#vt. (使)产生代谢变化
fuel#n. 燃料
mechanical#a. 机械的
catabolism#n. 分解代谢
anabolism#n. 组成代谢，合成代谢
construct#vt. 构成，建造
use up#耗尽，用完
roughly#ad. 粗略地；大体上
building-up#a. 组合的，合成的
constructive#a. 建造的，建设的
breaking-down#a. 毁坏的，分解的
destructive#a. 破坏的，分解的
miracle#n. 奇迹，神奇的事件
miraculous#a. 奇迹一样的
mystify#vt. 使(人)惊奇
basal#a. 基础的，基本的
tone#n. 紧张(度)；语调
metabolic#a. 新陈代谢的
awake#a. 清醒的；vt. 唤醒
relaxed#a. 松懈的，不拘束的
precede#vt. 领先，先于
preceding#a. 以前的，上述的
climate#n. 气候
tension#n. 紧张，拉紧
relaxation#n. 松弛，松懈；休息
manual#a. 体力的，用手的
indoor#a. (在)室内的
sedentary#a. 坐着的
calorie#n. 卡(热量单位)
automobile#n. 汽车，机动车
gasoline#n. 汽油(美)
furnace#n. 炉子；熔炉
blink#vi. 眨眼睛；闪烁
whatsoever#pron. & a. 无论什么
potential#a. 潜在的；n. 潜能
length#n. 长，长度
centimeter#n. 厘米，公分
definition#n. 定义；界限
kilocalorie#n. 千卡，大卡
approximately#ad. 大约；近似
tobacco#n. 烟草，烟叶
soothe#vt. & vi. 安慰，减轻
hazard#n. 危害，损害
link#n. 连接，联系；vt. 连接
be linked to#同…有联系；伴有
loss#n. 丧失，损失；损耗
appetite#n. 食欲，胃口
nausea#n. 恶心，呕吐
shortness#n. 短促，短，矮
shortness of breath#气急，呼吸短促
irregularity#n. 不规则，不规律
cigarette#n. 纸烟，香烟
chronic#a. 慢性的；长期的
overwhelming#a. 绝大多数的
statistical#a. 统计的，统计学的
non-smoker#n. 不抽烟的人
conclusive#a. 明确的，结论性的
chew#vt. 咀嚼；嚼烟；深思
sniff#vt. & vi. 吮吸，用鼻吸
nicotine#n. 尼古丁，烟碱
bind#vt. 包扎；附着，粘合
pyridine#n. 吡啶，氮苯
ammonia#n. 氨，阿摩尼亚
ketone#n. 酮
aldehyde#n. 醛；乙醛
tar#n. 搭柏油，焦油
brownish#a. 带褐色的
expose#vt. 使曝露；揭发
be exposed to#经受，接触
saliva#n. 涎，唾液
afterward#ad. 后来；以后
swallow#vt. 吞下，咽下
per cent#n. 百分之…
inhale#vt. 吸入
excrete#vt. 排泄；分泌
introduce#vt. 输入，引进；介绍
dose#n. 剂量，用量
medulla#n. 髓质
oblongata#n. 延髓
medulla oblongata#延髓
reflex#n. 反射，反射作用
act upon#对…起作用；按照
slow up#减慢，减退
constrict#vt. 压缩，使缩小
vomit#vt. 呕吐；喷出
mildly#ad. 轻微地，温和地
sedative#a. 镇静的，止痛的
calm#vt. 镇静；a. 平静的
harmful#a. 有害的
branch out into#分成，分枝成
hairlike#a. 毛发似的
cilia#n. 纤毛；睫
back and forth#前后来回地
sweep#vt. 扫，带走
particle#n. 粒子，尘埃
upward#ad. 向上，上升
dirt#n. 污物，污垢
slow down#减慢，减退
pack#n. 包，束；vt. 包装
a pack of#一包
victim#n. 受害者；患者
resistance#n. 抵抗力；反抗，抵抗
ward#n. 守卫；vt. 保护，守卫
ward off#防止，挡住
pathogen#n. 病原体
factor#n. 因素，要素；因子
nonspecific#a. 非特异性的
moderate#a. 中等的，适度的
acidity#n. 酸性，酸度
unfavorable#a. 不适宜的，不利的
medium#n. 环境；媒介物；手段
cilium#n. 纤毛
hairlike cilium#毛发状的纤发
propel#vt. 推动，推进
outward#ad. 向外；外表上
alkalinity#n. 碱浓度；碱性
salinity#n. 盐浓度，盐分
inactivate#vt. 使不活动
envelop#vt. 包围；裹住，封住
endothelial#a. 内皮的
node#n. 结；节
neutralize#vt. 中和；抵销
precipitate#vi. 沉淀
stimulate#vt. 刺激；激发
lymphoid#a. 淋巴的或淋巴样的
coryza#n. 普通感冒，鼻炎
influenza#n. 流行性感冒，流感
chickenpox#n. 水痘
measles#n. 麻疹
mumps#n. 流行性腮腺炎
poliomyelitis#n. 脊髓灰质炎
scarlet#a. 猩红的，绯红的
scarlet fever#猩红热
infancy#n. 婴儿期；幼年期
pertussis#n. 百日咳
lifelong#a. 终身的，毕生的
immunization#n. 免疫
rabies#n. 狂犬病
rocky#a. 岩石的，多岩的
spot#vt. & vi. (使)变污
typhoid#n. 伤寒
passive#a. 被动的；消极的
attain#vt. & vi. 获得；达到
inject#vt. 注射，注入
tend#vt. 趋向，走向
tend to#趋于，倾向于
renew#vt. 使更新；使恢复
infantile#a. 婴儿的，幼儿的
diffuse#vi. 扩散；渗出
placenta#n. 胎盘
fetus#n. 胎，胎儿
injection#n. 注射；注射剂
serum#n. 血清
convalescent#a. 恢复期的
susceptible#a. 易感的，易受影响的
susceptible to#易患…的
exposure#n. 接触；暴露
poison#n. 毒物，毒药；毒害
immunize#vt. 使免疫，使免除
weaken#vt. 减弱
numerous#a. 许多，为数众多的
relative#a. 相对的，相关的
absolute#a. 绝对的，独立的
transportation#n. 运输，运送
continual#a. 不断的，连续的
billion#num. 万亿(英国、德国)
plasma#n. 血浆；原生质
interstitial#a. 组织间隙的，间质的
intracellular#a. 细胞内的
suspend#vt. & vi. 悬浮；吊
element#n. 成分；元素
formed#(血液)有形成分
designate#vt. 指明，标示
pickup#n. 拾起，收集
deliver#vt. 传送；交付
delivery#n. 传送；交付；分娩
target#n. 靶；目标
enzyme#n. 酶
buffer#n. 缓冲剂，缓冲
biochemical#a. 生物化学的，生化的
heat-regulating#a. 调节热的
conductivity#n. 传导性
appreciable#a. 可以感觉到的
core#n. 核；核心
readily#ad. 容易地，很快地
dissipate#vt. 使消散，扩散
functionally#ad. 功能上，机能上
ingenious#a. 精巧的，机灵的
efficient#a. 有效的，有能力的
quart#n. 夸脱
demand#n. & vt. 要求，需要
extra#a. 额外的，另外的
erythrocyte#n. 红细胞
abundant#a. 丰富的，充裕的
pigment#n. 色素；v. 着色
acid-base#n. 酸-碱
acid-base balance#酸-碱平衡
lastly#ad. 最后
platelet#n. 血小板
thrombocyte#n. 血小板，凝血细胞
coagulation#n. 凝结
clot#v. 使凝结；使拥塞
interrelate#vt. & vi. (使)相互联系
distinct#a. 截然不同的，清楚的
plug#v. 塞，堵；n. 塞子
plug up#堵住，塞住
rupture#vt. (使)破裂
bleed#vi. 流血
pint#n. 品脱(等于1/2夸脱)
gallon#n. 加伦(等于4夸脱)
replacement#n. 还原；替换，取代
donor#n. 捐献者，献血者
recipient#n. 接受者，受血者
widely#ad. 广泛地
miraculously#ad. 奇迹般地
antigen#n. 抗原
universal#a. 宇宙的；普遍的
clump#n. 团，块；丛，簇
crosshatch#v. 交互配血
antisepsis#n. 防腐法，抗菌法
inherit#vt. 继承
sail#v. 开船，启航
sail through#顺利地取得
a.b.#文学士
with flying colors#出色地，成功地
settle down#定居
settle down to#专心致志于
witness#vt. 亲眼目睹，证明
ether#n. 乙醚，醚
b.m.#医学士
fellow#n. 会员；伙伴；同事
royal#a. 皇家的，英国的
appreciate#vt. 意识到，懂得
technically#ad. 技术上，技能上
amputation#n. 截肢
discourage#vt. 使丧失信心
post-operative#a. 手术后的
putrefaction#n. 腐烂；腐败
introduction#n. 输入；介绍；导言
recall#vt. 回想，回忆
revelation#n. 启示；新发现
reason#vt. 推理，思考
allow#vt. 允许；准许
search#v. 搜查，探索；n. 检查
search for#寻找
agent#n. 作用药剂，制剂
carbonic#a. 含碳的
carbonic acid#石炭酸
sewage#n. 污物，污水
convince#vt. 使确信，使信服
dilute#vt. 冲淡，稀释
solution#n. 溶液；解决(办法)
antiseptic#n. 抗菌剂；a. 无菌的
stage#n. 阶段，时期，舞台
experimentation#n. 研究，实验，试验
technique#n. 技术，技能；方法
crucial#a. 关键性的，重要的
inevitably#ad. 不可避免地
survive#vi. 活下来，幸存
limb#n. 肢体，手足
aseptic#a. 无菌的，防腐的
modify#vt. 更改，修改；修饰
favour#n. 好意，支持，同意
in favour of#赞成，支持
asepsis#n. 无菌，无菌操作
deny#vt. 否认，否定；拒绝
sterilization#n. 消毒，灭菌
dressing#n. 调味品；敷料；敷裹；装饰
gown#n. 白大褂，长外衣
glove#n. 手套
sepsis#n. 脓毒病，败血
conquest#n. 征服；赢得
abscess#n. 脓肿
accidental#a. 意外的，偶然的
microorganism#n. 微生物
flu#n. 流感
for short#为简略起见
contagious#a. (接触)传染的
filterable#a. 可滤过的，可滤的
uncomplicated#a. 不复杂的
secondary#a. 继发性的；第二位的
bronchial#a. 支气管的
lethal#a. 致命的，致死的
elderly#a. 上了年纪的
the elderly#老年人(指65岁以上)
subsequent#a. 随后的，后来的
virulent#a. 致病力强的
epidemic#n. 流行病；a. 流行性的
lull#n. 间歇，暂停
outbreak#n. 流行，发作，爆发
resemble#vt. 类似于，象
weakness#n. 虚弱，软弱
ache#vi. 痛；n. 疼痛
incubation#n. 潜伏
brief#a. 简短的；短暂的
communicate#v. 传染；通信；相通
depression#n. 沮丧抑郁症
persist#vi. 持续；坚持
vaccine#n. 疫苗，菌苗
accordingly#ad. 因此；相应地
viral#a. 病毒的
nevertheless#ad. 然而，不过
advisory#a. 顾问的，咨询的
cardiovascular#a. 心血管的
pregnant#a. 怀孕的；含蓄的
vaccinate#vt. 给…接种疫苗
periodically#ad. 周期性地，定期地
revaccinate#vt. 再给…接种疫苗
mutate#v. (使)突变；(使)变异
genetic#a. 遗传的；发生的
make-up#n. 特征；成分
rna#核糖核酸
culprit#n. 罪犯；冒犯者
southeast#n. 东南、东南部
southeast asia#东南亚
dub#vt. 称为，取名为
traveller#n. 旅行者，旅客
spotlight#n. 公众注意中心
notorious#a. 臭名昭著的
swine#n. 猪
swine flu#猪流感
variant#n. 变体，变种，变形
isolate#vt. 隔开，隔离
complain#vi. 抱怨，诉说
complain of#主诉
headache#n. 头痛；头痛的事
hack#vi. 断续地干咳
hacking cough#猛烈的干咳
joint#n. 关节；接合，接头
moisture#n. 潮湿，湿气
ventilate#vt. 使通风，使通气
lift#n. 电梯，起重机；vt. 吊
illness#n. 疾病，病患
creature#n. 生物
successively#ad. 一个接一个地
infective#a. 易传染的，传染性的
infectious#a. 传染的，感染性的
painstaking#a. 艰苦的；辛勤的
killer#n. 杀人者，凶手
accident#n. 事故，意外的事
by accident#偶然
fall#n. 秋季；降落；v. 落下
basement#n. 地下室；底层
bacteriologist#n. 细菌学家
deadly#a. 非常，极度
plate#n. 培养皿；盘
flourish#v. 茂密，茂盛；繁荣
somehow#ad. 由于某种原因
multiply#v. 增加，繁殖
in vitro#在试管内
in vivo#在活体内
submit#vt. 呈送，提交
print#v. 印刷；n. 印刷品
journal#n. 刊物，杂志；日记
account#n. 报告，报道
ignore#vt. 忽视，不顾
meanwhile#ad. 当时，与此同时
by chance#偶然
german#n. 德国人，德语
sulfa#a. 磺胺的；n. 磺胺类药物
sulfa drug#磺胺类药
dye#n. 染料，染色
dreaded#a. 令人畏惧的
leprosy#n. 麻风病
dramatically#ad. 显著地；戏剧性地
untoward#a. 不良的，不利的
effect#n. 效力；作用；结果
side effect#副作用
disadvantage#n. 缺点；不利作用
resume#vt. 重新开始，再继续
declare#vt. 宣布，声明
application#n. 应用，施用；申请
find application#获得应用
crystal#n. 结晶体
unlike#prep. 不象…；a. 不同的
occasionally#ad. 偶然，不经常地
allergic#a. 变应性的，过敏性的
allergic to#对…过敏
untold#a. 无数的，数不清的
foremost#a. 最初的，最主要的
inhibit#vt. 抑制；阻止
streptomycin#n. 链霉素
aureomycin#n. 金霉素
terramycin#n. 土霉素
colony#n. 菌落，群体；殖民地
flat#a. 浅的；扁平的
fluffy#a. 绒毛状的；蓬松的
spoil#vt. 搞糟；损坏
curious#a. 好奇的，仔细留心的
antagonist#n. 对手，拮抗物
penicillium notatum#特异青霉素
antagonistic#a. 对抗性的
discontinue#vt. & vi. 中止，中断
transplantation#n. 移植；移植法
breakthrough#n. 突破，冲垮
heal#vt. & vi. 治愈，愈合
mend#vt. 缝补；修理
remove#vt. 摘除，去掉；移动
tonsillitis#n. 扁桃体炎
tonsil#n. 扁桃体，扁桃腺
inflame#vt. & vi. 使发炎
anesthetize#vt. 使麻醉，使麻木
appendix#n. 阑尾，蚓突；附录
appendectomy#n. 阑尾切除术
as well as#以及；除了…之外(还)
pin#n. 针，别针；钉；销子
promote#vt. 促进；助长
faulty#a. 有病变的；有缺点的
valve#n. 瓣膜；阀；活门
man-made#a. 人造的，人工的
successful#a. 成功的；结果良好的
successfully#ad. 成功地，出色地
graft#n. 移植(物)；vt. 移植
autograft#n. 自体移植(物或术)
enormous#a. 重大的，巨大的
species#n. 物种；种类
homograft#n. 同种移植(物或术)
human being#n. 人
chimpanzee#n. 黑猩猩
heterograft#n. 异种移植(物或术)
afflict#vt. 使苦恼，折磨
be afflicted with#患，受…折磨
regain#vt. 恢复；复得，收回
cornea#n. 角膜
reject#vt. 排斥，抵制；否决
rejection#n. 排斥，拒绝；否决
ordinarily#ad. 平常,在一般情况下
accept#vt. 接受；承认，认可
tendency#n. 趋向，倾向
fight off#抵抗，击退
suppress#vt. 防止，阻止；抑制
immunosuppressive#a. 抑制免疫反应的
alien#a. 相异的，外来的
match#n. 对手，相配者；比赛
match with#使…和…相配(称)
turn out#原来是，结果成为
spare part#备件，附件
tissue-type#组织类型
tissue-typing#组织分类
attributable#a. 可归因的，可归属的
attributable to#可归因于，由…引起
discovery#n. 发现；被发现的事物
anesthetic#n. 麻醉剂；a. 麻醉的
anesthetist#n. 麻醉医生
anesthesiologist#n. 麻醉学家
toothache#n. 牙痛
tablet#n. 碑；匾额；小块，小片；药片
taste#n. 味觉；v. 尝
lessen#vt. 减轻，减少；缩小
sensation#n. 感觉，知觉
analgesic#n. 止痛药
relieve#vt. 减轻，解除
on this ground#因此，因此之故
symposium#n. 专题讨论会，座谈会
opium#n. 鸦片；麻醉剂
nitrous#n. 含有三价氮的
nitrous oxide#一氧化二氮(笑气)
painless#a. 不痛的，无痛苦的
deserve#vt. 应受，值得
credit#n. 荣誉；信任；vt. 相信
credit with#可归功于
demonstration#n. 示范，表演；论证
massachusetts#n. 麻萨诸塞(美国州名)
boston#n. 波士顿(美国城市)
scottish#a. 苏格兰的；n. 苏格兰人
chloroform#n. 氯仿
childbirth#n. 分娩，生小孩
queen#n. 女王；王后
avert#vt. 防止，避开
signal#n. 信息，信号；vt. 标志
induce#vt. 诱导；引起，导致
spray#vt. 喷；n. 浪花，喷雾
gel#n. 凝胶
lidocaine#n. 利多卡因(局部麻醉)
lidocaine gel#利多卡因凝胶(表面…)
ethyl chloride#n. 氯乙烷(表面麻醉剂)
rub#vt. 擦，擦上；摩擦
lining#n. 里层，衬里
nerve#n. 神经
ending#n. 末梢，末端；结尾
nerve endings#神经末梢
suitable#a. 合适的，适宜的
be suitable for#适用于
gastrostomy#n. 胃造口术
commonly#ad. 通常，一般
procaine#n. 普鲁卡因
cerebrospinal#a. 脑脊髓的
ganglion#n. 节；神经节
performance#n. 施行；进行；演出
obstetrics#n. 产科学，助产术
majority#n. 多数，大多数
hospitalize#vt. 把…送入医院治疗
premeditation#n. 术前用药
prior#a. 在先的，在前的
prior to#在…之前
achieve#vt. 达到，得到；完成
unconsciousness#n. 失去知觉，昏迷
halt#vt. 使停止；防止
exert#vt. 施加，行使
propose#vt. 提出，提议；推荐
intravenously#ad. 静脉注射地
milkmaid#n. 挤奶女工
prick#vt. 扎穿，刺穿
dare#v. 敢
daring#a. & n. 大胆(的)
purpose#n. 目的，意图；效用
anti-cowpox#a. 抗牛痘的
wear off#逐渐减弱，消失
incidentally#ad. 偶然地
native#a. 本国的，本土的
comparison#n. 比较，对照
instructive#a. 有教益的，有启发的
grown-up#n. 成年人的，成熟的
haphazard#a. 无计划的，随意的
lay out#拟订；布置，安排
playmate#n. 游戏的伙伴
visual#a. 视觉的，目视的
visual aids#直观教具
mastery#n. 精通，掌握；控制
gifted#a. 有天赋的，有才华的
inexact#a. 不准确的，不精确的
account for#说明，解释；占
flexible#a. 灵活的；柔韧的
flexibility#n. 灵活性，柔韧性
hold water#有理，说得通
argue#vt. 争辩；论证
especially#ad. 特别，格外
behaviour#n. 行为，举止
pronunciation#n. 发音，发音法
intonation#n. 语调，声调
drink in#全神贯注地听，欣赏
bubble#vi. 发出气泡，起泡
ever-bubbling#不断涌出的
assimilation#n. 同化；吸收；消化
as it were#可以说
advantage#n. 有利条件，优点
gesture#n. 手势；姿势
facial#a. 面部的
unnatural#a. 不自然的；人工的
scorching#a. 灼热的
desire#n. & vt. 愿望；要求
fulfill#vt. 完成；满足；履行
relation#n. 家属，亲属；关系
take great pains#煞费苦心，花大气力
awkward#a. 不熟练的，笨拙的
encouragement#n. 鼓励；奖励品
merry#a. 有趣的；愉快的
overlook#vt. 忽视
faultless#a. 无过失的；完善的
accuracy#n. 准确，精确
unnecessarily#ad. 不必要地
sprinkle#vt. 洒水
plunge#vt. 将…投入水中
elaborate#a. 详细的；精心制作的
preface#n. 序言，前言，绪言
pattern#n. 模型，典范
imply#vt. 暗示，意指
design#vt. 计划，预定
underlie#vt. 位于…的下面
linguistic#a. 语言的
explanatory#a. 解释的，说明的
introductory#a. 介绍的，引导的
for the most part#多半，通常
omit#vt. 省略，删去
sufficient#a. 足够的，充分的
memorise#vt. 记住，熟记(memorize=memorise)
repetition#n. 重复，反复
usage#n. 使用，用法；惯用法
grammatical#a. 语法的，符合语法的
imitation#n. 模仿，摹拟
frequent#a. 经常的，频繁的
resort#n. 采取的手段，求助
publish#vt. 发表；出版；公布
origin#n. 起源；由来
selection#n. 选择，挑选
evolve#vi. 进化；生长；发育
nonhuman#a. 非人类的
primate#n. 灵长目动物
descend#vi. 下降；传下
be descended from#是…的后裔，系出
ape#n. 猿，类人猿
geological#a. 地质学的
sensible#a. 明显的；感觉得到的
notion#n. 概念；见解；想法
content#a. 满足的；n. 内容
bible#n. 圣经
religion#n. 宗教；信仰
authoritarian#a. 权威主义的
camp#n. 阵营；野营
evolutionist#n. 进化论者
creationist#n. 神灵论者，上帝论者
solar#a. 太阳的，日光的
champion#vt. 拥护，支持；n. 冠军
god#n. 上帝，神
fall short of#辜负；达不到；缺乏
expectation#n. 期望，期待
blindly#ad. 盲目地，轻率地
evolutionary#a. 进化的
similarity#n. 类似，相似
fascinate#vt. 迷住,强烈地吸引住
fit...into#使…适应于
ecological#a. 生态的，生态学的
niche#n. 小生境，生态位
teem#vi. 充满，丰富
teeming#a. 丰富的
dock#vi. 靠码头
amass#vt. 积累，收集
meticulous#a. 细致的，过细的
possibility#n. 可能，可能性
naturalist#n. 博物学家
independently#ad. 独自地，单独地
reluctantly#ad. 勉强地
argument#n. 辩论，争论；认据
adapt#vt. 使适应，使适合
adaptation#n. 适应性；适应
sharpness#n. 锋利，锐利
ferocious#a. 凶恶的，凶猛的
beast#n. 兽，野兽
jungle#n. 丛林，密林；原始林
equally#ad. 相同地，同样地
adequate#n. 适当的，充分的
concise#a. 简明的，简要的
statement#n. 陈述，说明；声明
diagram#n. 图解，图表
table#n. 表格，项目表
glance#n. 一瞥
at a glance#一眼
middle age#中世纪
experimental#a. 实验上的
proof#n. 证据，证明，论证
program#n. 节目；计划，规划
geneva#n. 日内瓦(瑞士城市)
switzerland#瑞士
family planning#计划生育
institute#n. (研究)所，学院
academy#n. 研究院；学会
memo#n. 备忘录
officially#ad. 正式地，官方地
approval#n. 批准；赞同，同意
india#n. 印度
anticipate#vt. 期望；预料
clearance#n. 许可证
shortly#ad. 立刻，不久
enclose#vt. 围住；把…封入
participant#n. 参加者，参与者
draft#n. 草案，草稿
agenda#n. 议事日程，提纲
document#n. 公文，文件；证件
despatch#vt. 发送，派遣，寄出
economy#n. 经济；节省
residence#n. 居住，住处
deviation#n. 偏离；绕道，绕航
per diem#(拉)n. 每日
allowance#n. 津贴或补助费；允许
payment#n. 支付；支付的款项
visa#n. 签证
transit#n. 通过；过境；vt. 通过
reservation#n. 预定(旅馆房间等)
inclusive#a. 包含的，包含在内的
rail#n. 铁轨；铁路
alternatively#ad. 另外，此外
presently#ad. 现在，目前
attach#vt. 附加，随附
sincerely#ad. 真诚地，真挚地
yours sincerely#您忠诚的(信末客套语)
signature#n. 署名，签名
executive#a. 行政上的；n. 行政官
p.s.#(信末的)附言，再者
attestation#n. 证明，证实；证据
facilitate#vt. 使…便利，促进
obtention#n. 获得
encls#附件，内封物(缩)
indicate#vt. 指出，指示，表示
invitation#n. 邀请，招待；请贴
privilege#n. 优惠；荣幸；特权
deem#vt. 认为，相信
issue#n. 问题，争论点，期
eagerness#n. 急切的心情，渴望
previous#a. 以前的，先
convenience#n. 便利；方便
certificate#n. 执照，证(明)书
gratitude#n. 感谢，感激
regard#n. 注意，(复)致意
with best regards#此致敬礼(信末客套语)
inform#vt. 告诉，通知
director-general#总干事；理事长
approve#vt. 批准，通过；赞成
grant#n. 补助金，津贴
fund#vt. 为…提供资金
institution#n. 协会；学校，机构
collaborate#vi. 协作，合作
fertility#n. 肥沃；能育性
collaborative#a. 协作的，合作的
pharmaceutical#a. 药物的，药学的
chicago#芝加哥(美国城市)
sri lanka#斯里兰卡
acceptance#n. 接受，领受；承认
duplicate#a. 副的,复制的；n. 副本
cable#vi. 发电报
undated#a. 无定期的
administrative#a. 行政的，管理的
officer#n. 官员，高级职员
promotion#n. 促进，增进
disposal#n. 处理；配置；控制
at one's disposal#由某人支配
scourge#n. 灾难，祸害；vt. 蹂躏
achievement#n. 成就，成绩；完成
invention#n. 发明，创造；发明物
device#n. 器械；装置；设计
sphygmomanometer#n. 血压计
pressure#n. 压；压力
electrocardiograph#n. 心(动)电图描记器
cg#心(动)电图描记器(缩)
eeg#脑(动)电图描记器(缩)
hand in hand#手拉手地，同时发生地
go hand in hand with#与…密切联结在一起
radioisotope#n. 放射性同位素
trace#vt. 跟踪，追踪；n. 踪迹
tracer#n. 追踪者，示踪物
so far#到目前为止，迄今为止
toxoid#n. 类毒素
threaten#vt. 威胁，恐吓
life-threatening#威胁生命的
insulin#n. 胰岛素
diabetes#n. 糖尿病
doom#vt. 注定，命定；n. 厄运
be doomed to#注定要
formerly#ad. 以前，从前
folic acid#n. 叶酸
incorporate#vt. 合并，结合；收编
coenzyme#n. 辅酶
remarkable#a. 显著的；值得注意的
adenosine#n. 腺苷，腺嘌呤核苷
triphosphate#n. 三磷酸盐
conceive#vt. 想象，设想
pituitary#n. 垂体(脑)，脑下腺
synthetic#a. 合成的，人造的
steroid#n. 甾族化合物，类固醇
gonad#n. 性腺，生殖腺
artificially#ad. 人工地，人造地
cortisone#n. 肾上腺皮质激素
acth#(缩)肾上腺皮质激素
stride#n. 进展，进步；v. 跨过
pave#vt. 铺，筑路
pave the way for#为…铺平道路；导致
undreamed of#a. 梦想不到的，意外的
microsurgery#n. 显微外科；显微手术
