mood#n. 情绪，心境
replace#v. 放回原处
compete#v. 竞争，竞赛
cat#电子计算机横断层扫描
scanner#n. 扫描器
dialysis#n. 透析
investment#n. 投资；投资数
competition#n. 竞争；竞赛
licence#v. 发给执照
board#n. 委员会，理事会；局
trend#n. 趋势，倾向
specialization#n. 专业化，专科化
primary care#最初治疗，初级治疗
general practice#一般医师，家庭医生
specialty#n. 专业
inner#adj. 内部的，在内的
pediatrics#n. 儿科学
cardiologist#n. 心脏病学家
crisis#n. 转折点；骤变；危机
critic#n. 批评家；吹毛求疵者
earn#v. 挣得，博得
income#n. 收入
make up for#补偿，弥补
earnings#收入，所得工资
insurance#n. 保险，保险费
legal#adj. 合法的
orthopedics#n. 矫形，正骨；骨科学
malpractice#n. 行为不当；失职
regardless of#忽视；不管，不顾
costly#adj. 贵重的，昂贵的
gallbladder#n. 胆囊
greed#n. 贪心，贪婪
incentive#n. 刺激，引诱
profit#n. 利润；裨益
dense#adj. 浓厚的；密集的
fog#n. 雾，浓雾；迷惑
valley#n. 山谷，溪谷；流域
belgium#n. 比利时
foggy#adj. 有雾的；模糊的
strain#v. 拉紧；努力，奋斗
chemical#n. 化学物质，化学制品
milky#adj. 牛奶的，奶类的
roll#v. 滚动
furnace#n. 炉子，熔炉，高炉
inversion#n. 反向，倒转，倒置
lid#n. 盖子；眼睑；帽子
pile up#堆垒，堆积
soot#n. 煤烟，烟灰
airport#n. 机场，航空站
chain#n. 一连串；链；项圈
collision#n. 碰撞
highway#n. 公路，大路
los angeles#洛杉机
sting#v. 刺，刺痛
photochemical#n. 光催化学物
nitrogen#n. 氮
oxide#n. 氧化物
refinery#n. 精炼厂；炼油厂
prohibit#v. 禁止；阻止
chimney#n. 烟囱，烟筒
sun-powered#adj. 太阳能发动的
engine#n. 引擎，发动机
solar#adj. 太阳的，日光的
device#n. 设计，装置；计划
power#v. 用动力发动的
satellite#n. 卫星；人造卫星
capture#v. 捕获，俘获；夺得
chlorophyll#n. 叶绿素
starch#n. 淀粉；淀粉食物
glycogen#n. 肝糖，动物淀粉
eyebrow#n. 眉毛，眉
overheat#v. 加热过大，加热过度
clap#v. 拍手
chilly#adj. 寒冷的；不友好的
shiver#v. 颤抖，哆嗦
bundle#n. 束；包袱，包裹
scatter#v. 使分散；撒，散布
biceps#n. 二头肌
thumb#n. (大)拇指
regiment#n. 团；一大群，大量
message#n. 通讯，音讯，信息
relay#v. 分程递送；转播
instantly#ad. 立即，即刻
involuntary#adj. 不随意的
autonomic#adj. 自主的，自发的
rout#v. (按一定路线)输送
radar#n. 雷达，无线电探测器
bombard#v. 炮击，轰炸；碰撞
hourly#adj. & ad. 每小时(的)
recoil#v. 退缩；弹回，跳回
gravity#n. 引力
jerk#v. 猛地一拉；肌肉抽缩
flex#v. 屈曲(四肢)
rectangle#n. 矩形，长方形
iris#n. 虹膜；彩虹
receptor#n. 感受器，受体
back and forth#来来往往地
feed#v. 供应…给；喂(养)
sort#v. 把…分类
file#v. 把…归档
bud#n. (解剖)芽，蕾；芽
optic#adj. 眼的，视觉的
radiate#v. 发射(光或热)，幅射
skyscraper#n. 摩天楼
puberty#n. 青春期
somatic#adj. 躯体的；体壁的
precede#v. 先于…；比…优先
trigger#v. 引起，激发
hypothalamic#adj. 视丘下的
pubescent#adj. 青春期
spurt#n. 突然的激增，迸发
encounter#v. 遭遇，遇到
stature#n. 身高，身材
noteworthy#adj. 值得注意的
magnitude#n. 广大，巨大；重要性
peak#n. 山顶，山峰；最高点
velocity#n. 速度，速率；高速
doubling#n. 加倍，双倍
decelerate#v. 使减速，降低速度
noticeable#adj. 值得注意的
labile#adj. 易变的，不稳定的
non-skeletal#adj. 不属于骨骼的
increment#n. 增长，增值
musculature#n. 肌肉系统；肌肉组织
physique#n. 体格
adolescent#n. 青少年
stereotype#n. 陈规，旧框框
gangling#adj. 细长的，不结实的
calf#n. 小腿，腓
thigh#n. 大腿，股
forearm#n. 前臂
neural#adj. 神经的
characterize#v. 表示…的特性
cranium#n. 头盖，脑壳
relative to#相对的，有关系的
systolic#adj. 收缩的
concurrent#adj. 同时发生的
hemoglobin#n. 血红蛋白
capacity#n. 容积，容量；能力
net#adj. 纯净的；基本的
exertion#n. 努力，费力，用力
tolerance#n. 忍受，容忍
outperform#v. 超额完成，过度执行
prepubescent#adj. 青春期前的
aging#n. 衰老，老化
expectancy#n. 期待，期望
life expectancy#估计寿命
gerontologist#n. 老年医学家
old folk#老年人
literature#n. 文学，文学作用
picasso#毕加索(西班牙画家)
tolstoy#托尔斯泰(俄国小说家)
discrimination#n. 辩别，区别；辩别力
unproductive#adj. 无生产力的
bear#n. 熊
gene#n. 基因
self-destruction#自我毁灭
dna#脱氧脱糖核酸
efficiency#n. 功率，效率
elastic#n. 弹性硬蛋白
elasticity#n. 弹性，伸缩性
collagen#n. 胶原
stiff#adj. 硬的，强直的
stoop#v. 弯腰，俯身
wastage#n. 消瘦，衰老
upright#adj. 垂直的，直立的
dull#adj. 迟钝的；钝的
dwindle#v. 缩小，变小
maturity#n. 成熟
intelligence#n. 智力，聪明；情报
senility#n. 衰老，老迈
forgetfulness#n. 健忘
selfishness#n. 自私
nap#n. (白天)打瞌睡，打盹
stubbornness#n. 顽固的，固执的
coronary#adj. 冠状的
narrow#v. 使缩小；变狭，收缩
deposit#n. 沉淀物，堆积物
atherosclerosis#n. 动脉硬化
cardiac#adj. 心脏的，心脏病的
interconnections#n. 相互连接，彼此连系
stoppage#n. 阻塞，堵塞；阻碍
pacemaker#n. 起搏点
gauge#n. 量计，量器，表
cuff#n. 袖口，护腕
sphygmomanometer#n. 血压计
wrap#v. 包裹，覆盖
inflate#v. 使充气，使膨胀
brachial#adj. 臂的，上臂的
compress#v. 压缩，压迫
surge#n. 浪，冲动
diastolic#adj. 舒张的
stroke#n. 中风，(病)突然发作
rupture#n. 破裂，裂开
dizziness#n. 头晕，眩晕
slur#v. 含糊地发音
stem from#起源，发生
obesity#n. 肥胖症
demanding#adj. 过分要求的
disruptive#adj. 引起分裂的
malnutrition#n. 营养不足；营养不良
overexposure#n. 过度暴露
adrenalin#n. 肾上腺素
renin#n. 肾高血压蛋白酶
aldosterone#n. 醛固酮
retention#n. 留滞，潴留
osmosis#n. 渗透，渗透作用
preface#n. 序言，前言，绪言
naive#adj. 天真的，幼稚的
recast#v. 彻底改动，重做
realm#n. 领域，范畴
pursuit#n. 寻求，追赶；追求
quiz#v. 进行测验，盘问
inconsistency#n. 不一致，相互矛盾
homeostasis#n. 体内环境恒定
critique#n. 批评，评论
feedback#n. 回授，反馈
appreciation#n. 感谢，感激
secretarial#adj. 秘书的
superb#adj. 壮丽的，极好的
illustration#n. 插图；例证，说明
staff#n. (全体)工作人员
editorial#adj. 编辑的
excellence#n. 优秀，杰出；美德
pharmacology#n. 药理学，药物学
blessing#n. 幸事，幸福的事
indiscriminate#adj. 无选择的
civilization#n. 文明，文化
divergent#adj. 分歧的，差异的
domesticate#v. 驯养(动物)
mud#n. 泥
spirit#n. 精神，心灵，灵魂
noxious#adj. 有害的，不卫生的
latex#n. 胶乳，乳液
capsule#n. 囊，荚膜
poppy#n. 罂粟属植物
opium#n. 雅片，麻醉剂
advent#n. (事件等的)到来
discard#v. 丢弃，抛弃，遗弃
purify#v. 提纯，使纯净
staphylococci#n. 葡萄状球菌
contaminate#v. 弄脏，沾污
penicillium#n. 特异青霉，点青霉
formula#n. 处方，配方；公式
purity#n. 纯洁，纯净，纯度
rationalism#n. 理性主义，唯理论
empiricism#n. 经验主义，经验论
synthetical#adj. 合成的；非自然的
medication#n. 药疗法；药物，药剂
quest#n. 探寻，探求
ascorbic acid#n. 抗坏血酸，维生素ｃ
supplemental#adj. 补充的，增补的
popularity#n. 名声；人流行
nobel prize#n. 诺贝尔奖
ingest#v. 摄取；吸收；咽下
imprecise#adj. 不正确的
mammal#n. 哺乳动物
pool#n. 备用物资；水池
substantial#adj. 显著的；重要的
reserve#n. 储备，保存
interferon#n. 干扰素
immunoglobulin#n. 免疫球蛋白
arsenal#n. 武器库；军火库
antihistamine#n. 抗组织胺
stuffy#adj. 不通气的，窒息的
ease#v. 减轻(痛苦，负担)
detoxify#v. 除去…的毒物
lead#n. 铅
handful#n. 一把
enthusiast#n. 热心人
therapist#n. 治疗学家
leach#v. 滤掉，滤去
diuretic#n. & adj. 利尿剂
laxative#n. & adj. 轻泻剂
gear#v. 开动，发动
assimilate#v. 吸收，摄取
intake#n. 吸收，收纳
taper off#使逐渐减少
deplete#v. 耗尽…的精力；减少
promise#n. 有希望的事物
willow#n. 柳树
date back to#追溯到
salicin#n. 柳醇，水杨甙
variant#n. 变种；adj. 不同的
acetylsalicylic#adj. 乙酰水杨酸的
arthritis#n. 关节炎
narcotic#n. 麻醉剂
thermostat#n. 恒温机制
unsuspected#adj. 未知的
overweight#n. & adj. 超重的
detectable#adj. 可觉察的
thrombosis#n. 血栓形成
anticoagulant#adj. 抗凝的
hip#n. 髋部，臀部
potent#adj. 强有力的
mischievous#adj. 有害的，为害的
reanalyze#v. 再分析
dyspepsia#n. 消化不良
constipation#n. 便秘
gout#n. 痛风
stool#n. 大便，粪便
tea-spoon#n. 茶匙
supervision#n. 监督
metastasis#n. 转移
benign#adj. 良性的(疾病)
neoplasm#n. 瘤；赘生物
fibroma#n. 纤维瘤
lipoma#n. 脂肪瘤
leiomyoma#n. 平滑肌瘤
expansile#adj. (可)增大的
distort#v. 使变形，扭曲
pseudopod#n. 假足，伪足
infiltration#n. 浸润
deceptive#adj. 欺骗的，不实的
encase#v. 装入箱内；包围
stroma#n. 基质
crab#n. 螃蟹
margin#n. 边缘
excision#n. 切除
disseminate#v. 传播，散播
seed#v. 播种，结实；扩散
implant#n. 植入；植入物
unequivocal#adj. 不含糊的
permeation#n. 渗透，弥漫，充盈
colon#n. 结肠
gut#n. 肠，内脏
visceral#adj. 内脏的
peritoneum#n. 腹膜
reimplant#v. 再植入
gloved hand#带手套的手
tribute#n. 贡物
sarcoma#n. 肉瘤
drainage#n. 引流
bronchogenic#adj. 支气管源的
tracheobronchial#adj. 气管支气管的
mediastinal#adj. 纵隔的
vulnerable#adj. 易受伤害的
regional#adj. 地方的，区域的
pacific#n. 太平洋或太平洋地区
minister#n. 部长；公使
ministry#n. 部
sponsor#n. 资助人，赞助人
policy#n. 政策；方针
intensify#v. 加强，加剧
implement#v. 实现(事业，协定)
manpower#n. 人力
impact#n. 影响
assess#v. 估计，估价；评估
priority#n. 较早，优先权
representative#n. 代表
qualifications#n. 资格，条件
senior#adj. 年长的；资历深的
economy#n. 经济；节省；节俭
subsistence#n. 生存；生计
attendance#n. 出席，到场
monitor#vt. & vi. 监测；监视
obedient#adj. 顺从的；服从的
indication#n. 指示；适应症；象征
duodenum#n. 十二指肠
gastritis#n. 胃炎
heartburn#n. (消化不良)胃灼热感
spasm#n. 痉挛；抽筋
symptomatic#adj. 对症的
bismuth#n. 铋
subnitrate#n. 次硝酸盐
regenerate#v. 赋与新的力量或生命
defecation#n. 通便，排粪
zest#n. 强烈的兴趣；热心
adverse#adj. 不利的；恶劣的
magnesium#n. 镁
cortex#n. 外皮；皮质，皮层
luke-warm#adj. 微温的
persevere#v. 坚持；坚忍
slacken#v. 使松弛；缓慢
consumption#n. 用尽，消费；消费量
alcoholic#adj. 酒精的，含酒精的
liquor#n. 酒；酒类
copious#adj. 丰富的
minimize#vt. 将…减至最小量
packing#n. 包装
carriage#n. 仪态，举止，姿势
context#n. 上下文，词句意义
habitus#n. 状态
pinpoint#vt. 精确地找到
approximation#n. 近似(值)；接近
inspection#n. 检查，视察，望诊
bedsheet#n. 床单
icterus#n. 黄疸
fluorescent#adj. 荧光性的
cyanosis#n. 紫绀
accentuate#vt. 加重；强调
contour#n. 轮廓；周线；区分线
symmetry#n. 对称；匀称；调和
plethoric#adj. 充血的，多血的
barrel-shaped#adj. 筒状的
palpation#n. 触诊，扪诊
texture#n. 构造，结构
dimension#n. 大小，体积；广度
consistency#n. 浓度，坚度，硬度
papule#n. 丘疹；小突起
macula#n. (皮肤上的)斑点
myxedema#n. 粘液性水肿
mat#v. 集结
nodular#adj. 有结节的
ascites#n. 腹水
ascertain#v. 探出真相；确知
percussion#n. 叩诊
thumping#n. 敲击，打击
vibration#n. 振动，摆动
tap#v. 轻拍，轻敲，轻叩
mediate#adj. 居间的；间接的
interpose#v. 插入；介入
plexor#n. 叩诊锤
pronate#v. 使(手掌)转向下
auscultation#n. 听诊
merit#v. 应受；值得
cycle#n. 循环；周期；周
high-pitched#adj. 尖声的，高声的
cps#每秒周(波)数
inaudible#adj. 听不见的
dyne#n. 达因(力的单位)
whistle#v. 吹口哨；发口哨声
rumble#n. 隆隆声；沉闷的声音
intervene#v. (事件)插入；干涉
for...sake#为了…的缘故(之好处)
elucidation#n. 阐明，说明
astute#adj. 敏锐的；精明的
document#v. 用文件证明
antecedent#n. 前例；前事
anything#远非；根本不是
shackle#vt. 束缚；羁绊
frivolous#adj. 不庄重的
haphazard#n. , adj. & adv. 偶然的
harbinger#n. 先驱；前兆
vanguard#n. 军队等的先头部队
implicate#v. 示某人和…有关系
anthrax#n. 炭疽病
puerperal#adj. 分娩的
pernicious#adj. 有害的；恶性的
antitoxin#n. 抗毒素
antiserum#n. 抗血清
contemporary#adj. 当代的；同时代的
elucidate#vt. 阐明；解释
locus#n. 所在地；病灶
bewildering#adj. 使迷惑，使糊涂
molecular#adj. 分子的
peptide#n. 肽
pervade#vt. 遍及；充满；渗透
subsume#vt. 包含，包摄
psychology#n. 心理学
sociology#n. 社会学
anthropology#n. 人类学
intrinsic#adj. 固有的；内在的
germane#adj. 密切有关的
